wavelength_micron,bin_width_micron,rp_over_rstar,rp_over_rstar_uncertainty,instrument
0.560,0.030,0.06929,0.00125,HST_STIS_G750L
0.595,0.040,0.07011,0.00086,HST_STIS_G750L
0.630,0.030,0.07094,0.00099,HST_STIS_G750L
0.667,0.044,0.07053,0.00079,HST_STIS_G750L
0.732,0.084,0.06891,0.00074,HST_STIS_G750L
0.830,0.110,0.07218,0.00074,HST_STIS_G750L
0.957,0.144,0.07030,0.00101,HST_STIS_G750L
0.847,0.072,0.07174,0.00047,HST_WFC3_G102
0.908,0.048,0.07096,0.00044,HST_WFC3_G102
0.957,0.048,0.07165,0.00039,HST_WFC3_G102
1.006,0.048,0.07131,0.00037,HST_WFC3_G102
1.055,0.048,0.07020,0.00041,HST_WFC3_G102
1.092,0.024,0.07042,0.00061,HST_WFC3_G102
1.116,0.024,0.07115,0.00067,HST_WFC3_G102
1.154,0.046,0.07128,0.00030,HST_WFC3_G141
1.200,0.046,0.07009,0.00030,HST_WFC3_G141
1.247,0.046,0.07054,0.00036,HST_WFC3_G141
1.293,0.046,0.07098,0.00037,HST_WFC3_G141
1.339,0.046,0.07205,0.00034,HST_WFC3_G141
1.386,0.046,0.07266,0.00035,HST_WFC3_G141
1.432,0.046,0.07293,0.00031,HST_WFC3_G141
1.478,0.046,0.07164,0.00031,HST_WFC3_G141
1.524,0.046,0.07123,0.00038,HST_WFC3_G141
1.571,0.046,0.07033,0.00057,HST_WFC3_G141
1.617,0.046,0.06909,0.00045,HST_WFC3_G141
3.600,0.760,0.07119,0.00091,Spitzer_IRAC
4.500,1.120,0.07140,0.00120,Spitzer_IRAC
